,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (10:07 PM EST),period,start,0.0,,False,,0
1,4,1610612747,0,0,Jump Ball Davis vs. Gobert: Tip to Conley,Jump Ball,,0.0,h,True,MIN,1
2,7,1610612750,0,0,MISS Edwards 27' 3PT Jump Shot,Missed Shot,Jump Shot,280.0,v,False,MIN,1
3,8,1610612747,0,0,L. James REBOUND (Off:0 Def:1),Rebound,Unknown,310.0,h,True,LAL,2
4,9,1610612747,3,0,Hachimura 26' 3PT Jump Shot (3 PTS) (Davis 1 AST),Made Shot,Jump Shot,420.0,h,False,LAL,2
5,11,1610612747,3,0,Reaves P.FOUL (P1.T1) (N.Buchert),Foul,Personal,690.0,h,True,MIN,3
6,13,1610612750,3,2,McDaniels 4' Driving Finger Roll Layup (2 PTS) (Randle 1 AST),Made Shot,Driving Finger Roll Layup Shot,780.0,v,False,MIN,3
7,15,1610612747,5,2,Hachimura 3' Driving Dunk (5 PTS) (Russell 1 AST),Made Shot,Driving Dunk Shot,970.0,h,True,LAL,4
8,17,1610612750,5,5,Edwards 24' 3PT Jump Shot (3 PTS) (Randle 2 AST),Made Shot,Jump Shot,1230.0,v,True,MIN,5
9,20,1610612747,5,5,MISS L. James 5' Driving Bank Hook Shot,Missed Shot,Driving Bank Hook Shot,1450.0,h,True,LAL,6
10,21,1610612750,5,5,Gobert REBOUND (Off:0 Def:1),Rebound,Unknown,1470.0,v,True,MIN,7
11,22,1610612750,5,5,MISS McDaniels 4' Running Layup,Missed Shot,Running Layup Shot,1510.0,v,False,MIN,7
12,22,1610612747,5,5,L. James BLOCK (1 BLK),,,1510.0,h,False,MIN,7
13,24,1610612747,5,5,L. James REBOUND (Off:0 Def:2),Rebound,Unknown,1530.0,h,True,LAL,8
14,25,1610612747,5,5,MISS Hachimura 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1560.0,h,False,LAL,8
15,26,1610612747,5,5,Reaves REBOUND (Off:1 Def:0),Rebound,Unknown,1600.0,h,False,LAL,8
16,27,1610612747,5,5,MISS Russell 26' 3PT Jump Shot,Missed Shot,Jump Shot,1610.0,h,False,LAL,8
17,28,1610612750,5,5,Gobert REBOUND (Off:0 Def:2),Rebound,Unknown,1640.0,v,True,MIN,9
18,29,1610612750,5,5,MISS Gobert 3' Reverse Layup,Missed Shot,Reverse Layup Shot,1780.0,v,False,MIN,9
19,29,1610612747,5,5,Hachimura BLOCK (1 BLK),,,1780.0,h,False,MIN,9
20,31,1610612747,5,5,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,1820.0,h,True,LAL,10
21,32,1610612747,7,5,L. James 3' Running Layup (2 PTS) (Davis 2 AST),Made Shot,Running Layup Shot,1840.0,h,False,LAL,10
22,34,1610612747,7,5,Reaves Violation:Kicked Ball (N.Buchert),Violation,Kicked Ball,1940.0,h,True,MIN,11
23,35,1610612750,7,5,Conley Bad Pass Turnover (P1.T1),Turnover,Bad Pass,2010.0,v,False,MIN,11
24,35,1610612747,7,5,Davis STEAL (1 STL),,,2010.0,h,True,LAL,12
25,37,1610612747,9,5,L. James 2' Running Dunk (4 PTS) (Reaves 1 AST),Made Shot,Running Dunk Shot,2050.0,h,False,LAL,12
26,39,1610612750,9,5,Gobert OFF.Foul (P1) (J.Orr),Foul,Offensive,2100.0,v,True,MIN,13
27,41,1610612750,9,5,Gobert Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,2100.0,v,False,MIN,13
28,42,1610612747,9,5,MISS Russell 4' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,2230.0,h,True,LAL,14
29,44,1610612750,9,5,Gobert REBOUND (Off:0 Def:3),Rebound,Unknown,2260.0,v,True,MIN,15
30,45,1610612750,9,5,MISS Randle 1' Running Layup,Missed Shot,Running Layup Shot,2300.0,v,False,MIN,15
31,46,1610612747,9,5,Davis REBOUND (Off:0 Def:2),Rebound,Unknown,2320.0,h,True,LAL,16
32,47,1610612747,9,5,Davis Bad Pass Turnover (P1.T1),Turnover,Bad Pass,2320.0,h,False,LAL,16
33,47,1610612750,9,5,McDaniels STEAL (1 STL),,,2320.0,v,True,MIN,17
34,49,1610612750,9,7,McDaniels 3' Layup (4 PTS),Made Shot,Layup Shot,2360.0,v,False,MIN,17
35,50,1610612747,9,7,MISS Reaves 31' 3PT Jump Shot,Missed Shot,Jump Shot,2600.0,h,True,LAL,18
36,51,1610612750,9,7,Randle REBOUND (Off:0 Def:1),Rebound,Unknown,2630.0,v,True,MIN,19
37,52,1610612750,9,7,Randle Bad Pass Turnover (P1.T3),Turnover,Bad Pass,2750.0,v,False,MIN,19
38,52,1610612747,9,7,Russell STEAL (1 STL),,,2750.0,h,True,LAL,20
