,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (7:37 PM EST),period,start,0.0,,False,,0
1,4,1610612742,0,0,Jump Ball Gafford vs. Wembanyama: Tip to Barnes,Jump Ball,,0.0,h,True,SAS,1
2,7,1610612759,0,0,MISS Champagnie 3PT Jump Shot,Missed Shot,Jump Shot,220.0,v,False,SAS,1
3,8,1610612742,0,0,Thompson REBOUND (Off:0 Def:1),Rebound,Unknown,250.0,h,True,DAL,2
4,9,1610612742,0,0,MISS Irving 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,310.0,h,False,DAL,2
5,10,1610612759,0,0,Champagnie REBOUND (Off:0 Def:1),Rebound,Unknown,340.0,v,True,SAS,3
6,11,1610612759,0,3,Champagnie 25' 3PT Jump Shot (3 PTS) (Paul 1 AST),Made Shot,Jump Shot,400.0,v,False,SAS,3
7,13,1610612742,0,3,MISS Dončić 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,580.0,h,True,DAL,4
8,14,1610612759,0,3,Paul REBOUND (Off:0 Def:1),Rebound,Unknown,600.0,v,True,SAS,5
9,15,1610612742,0,3,Irving P.FOUL (P1.T1) (R.Mott),Foul,Personal,600.0,h,False,SAS,5
10,17,1610612759,0,6,Sochan 26' 3PT Jump Shot (3 PTS) (Barnes 1 AST),Made Shot,Jump Shot,830.0,v,False,SAS,5
11,19,1610612742,2,6,Gafford 4' Hook Shot (2 PTS) (Irving 1 AST),Made Shot,Hook Shot,960.0,h,True,DAL,6
12,21,1610612759,2,6,MISS Champagnie 6' Driving Layup,Missed Shot,Driving Layup Shot,1080.0,v,True,SAS,7
13,21,1610612742,2,6,Irving BLOCK (1 BLK),,,1080.0,h,False,SAS,7
14,23,0,2,6,MAVERICKS Rebound,Rebound,Unknown,1080.0,h,True,DAL,8
15,25,1610612742,2,6,MISS Irving 22' Jump Shot,Missed Shot,Jump Shot,1190.0,h,False,DAL,8
16,26,1610612742,2,6,Thompson REBOUND (Off:1 Def:1),Rebound,Unknown,1220.0,h,False,DAL,8
17,27,1610612742,2,6,MISS Dončić 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1280.0,h,False,DAL,8
18,28,1610612759,2,6,Wembanyama REBOUND (Off:0 Def:1),Rebound,Unknown,1330.0,v,True,SAS,9
19,29,1610612759,2,6,MISS Wembanyama 28' 3PT Jump Shot,Missed Shot,Jump Shot,1390.0,v,False,SAS,9
