,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (7:45 PM EST),period,start,0.0,,False,,0
1,4,1610612737,0,0,Jump Ball Capela vs. Simmons: Tip to Johnson,Jump Ball,,0.0,h,True,ATL,1
2,7,1610612737,3,0,Hunter 25' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,190.0,h,False,ATL,1
3,8,1610612751,3,0,Simmons Bad Pass Turnover (P1.T1),Turnover,Bad Pass,340.0,v,True,BKN,2
4,8,1610612737,3,0,Capela STEAL (1 STL),,,340.0,h,True,ATL,3
5,10,1610612737,6,0,Daniels 25' 3PT Jump Shot (3 PTS) (Capela 1 AST),Made Shot,Jump Shot,420.0,h,False,ATL,3
6,12,1610612751,6,0,MISS Thomas 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,560.0,v,True,BKN,4
7,13,1610612751,6,0,Simmons REBOUND (Off:1 Def:0),Rebound,Unknown,590.0,v,False,BKN,4
8,14,1610612751,6,2,C. Johnson 1' Cutting Dunk Shot (2 PTS) (Simmons 1 AST),Made Shot,Cutting Dunk Shot,650.0,v,False,BKN,4
9,16,1610612737,8,2,Capela 1' Alley Oop Dunk (2 PTS) (Young 1 AST),Made Shot,Alley Oop Dunk Shot,720.0,h,True,ATL,5
10,18,1610612751,8,4,Simmons 4' Driving Hook Shot (2 PTS),Made Shot,Driving Hook Shot,860.0,v,True,BKN,6
11,19,1610612737,8,4,MISS Young 3' Driving Layup,Missed Shot,Driving Layup Shot,1080.0,h,True,ATL,7
12,20,1610612737,8,4,Daniels REBOUND (Off:1 Def:0),Rebound,Unknown,1120.0,h,False,ATL,7
13,21,1610612737,10,4,Daniels Tip Layup Shot (5 PTS),Made Shot,Tip Layup Shot,1120.0,h,False,ATL,7
14,22,1610612751,10,4,MISS Finney-Smith 24' 3PT Jump Shot,Missed Shot,Jump Shot,1240.0,v,True,BKN,8
15,23,1610612737,10,4,Capela REBOUND (Off:0 Def:1),Rebound,Unknown,1270.0,h,True,ATL,9
16,24,1610612737,12,4,Hunter 15' Pullup Jump Shot (5 PTS) (Young 2 AST),Made Shot,Pullup Jump shot,1340.0,h,False,ATL,9
17,26,1610612751,12,4,Finney-Smith S.FOUL (P1.T1) (A.Nagy),Foul,Shooting,1340.0,v,False,ATL,9
18,28,1610612737,13,4,Hunter Free Throw 1 of 1 (6 PTS),Free Throw,Free Throw 1 of 1,1340.0,h,False,ATL,9
19,29,1610612751,13,4,MISS Thomas 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1490.0,v,True,BKN,10
20,30,1610612751,13,4,Simmons REBOUND (Off:2 Def:0),Rebound,Unknown,1510.0,v,False,BKN,10
21,31,1610612751,13,4,MISS Thomas 1' Driving Layup,Missed Shot,Driving Layup Shot,1550.0,v,False,BKN,10
22,32,1610612737,13,4,Capela REBOUND (Off:0 Def:2),Rebound,Unknown,1600.0,h,True,ATL,11
23,33,1610612751,13,4,C. Johnson P.FOUL (P1.T2) (D.Guthrie),Foul,Personal,1630.0,v,False,ATL,11
24,35,1610612737,13,4,MISS Hunter 7' Driving Layup,Missed Shot,Driving Layup Shot,1710.0,h,False,ATL,11
25,35,1610612751,13,4,Simmons BLOCK (1 BLK),,,1710.0,v,False,ATL,11
26,37,0,13,4,HAWKS Rebound,Rebound,Unknown,1720.0,h,False,ATL,11
27,40,1610612737,13,4,MISS Daniels 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1780.0,h,False,ATL,11
28,41,1610612751,13,4,Simmons REBOUND (Off:2 Def:1),Rebound,Unknown,1820.0,v,True,BKN,12
29,42,1610612751,13,6,Simmons 2' Running Layup (4 PTS),Made Shot,Running Layup Shot,1870.0,v,False,BKN,12
30,43,1610612751,13,6,Thomas P.FOUL (P1.T3) (S.Corbin),Foul,Personal,1910.0,v,True,ATL,13
31,45,1610612737,13,6,MISS Hunter 2' Driving Layup,Missed Shot,Driving Layup Shot,1990.0,h,False,ATL,13
32,45,1610612751,13,6,Finney-Smith BLOCK (1 BLK),,,1990.0,v,False,ATL,13
33,47,1610612751,13,6,Finney-Smith REBOUND (Off:0 Def:1),Rebound,Unknown,2030.0,v,True,BKN,14
34,48,1610612751,13,6,Simmons Out of Bounds - Bad Pass Turnover Turnover (P2.T2),Turnover,Out of Bounds - Bad Pass Turnover,2170.0,v,False,BKN,14
35,49,1610612737,13,6,MISS Young 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,2210.0,h,True,ATL,15
36,50,1610612751,13,6,Schröder REBOUND (Off:0 Def:1),Rebound,Unknown,2250.0,v,True,BKN,16
37,51,1610612751,13,6,MISS Finney-Smith 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,2290.0,v,False,BKN,16
38,52,1610612737,13,6,Hunter REBOUND (Off:0 Def:1),Rebound,Unknown,2330.0,h,True,ATL,17
39,53,1610612737,13,6,Capela Lost Ball Turnover (P1.T1),Turnover,Lost Ball,2510.0,h,False,ATL,17
40,53,1610612751,13,6,Thomas STEAL (1 STL),,,2510.0,v,True,BKN,18
41,55,1610612751,13,6,MISS Thomas 24' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,2540.0,v,False,BKN,18
42,56,1610612737,13,6,Capela REBOUND (Off:0 Def:3),Rebound,Unknown,2570.0,h,True,ATL,19
43,57,1610612737,13,6,Johnson Traveling Turnover (P1.T2),Turnover,Traveling,2730.0,h,False,ATL,19
44,58,1610612737,13,6,Daniels Violation:Kicked Ball (A.Nagy),Violation,Kicked Ball,2820.0,h,True,BKN,20
45,59,1610612751,13,8,Schröder 17' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,2920.0,v,False,BKN,20
46,60,1610612751,13,8,Schröder P.FOUL (P1.T4) (D.Guthrie),Foul,Personal,2970.0,v,True,ATL,21
47,62,0,13,8,HAWKS Timeout: Regular (Full 1 Short 0),Timeout,Regular,2970.0,h,False,ATL,21
48,64,1610612737,13,8,SUB: Bogdanović FOR Johnson,Substitution,,2970.0,h,False,ATL,21
49,65,1610612751,13,8,SUB: Wilson FOR Schröder,Substitution,,2970.0,v,False,ATL,21
50,68,1610612737,13,8,MISS Young 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,3040.0,h,False,ATL,21
51,69,1610612737,13,8,Capela REBOUND (Off:1 Def:3),Rebound,Unknown,3080.0,h,False,ATL,21
52,168,1610612737,13,8,MISS Capela 4' Putback Layup,Missed Shot,Putback Layup Shot,3100.0,h,False,ATL,21
53,169,1610612751,13,8,Finney-Smith REBOUND (Off:0 Def:2),Rebound,Unknown,3100.0,v,True,BKN,22
54,72,1610612737,13,8,Hunter P.FOUL (P1.T1) (D.Guthrie),Foul,Personal,3150.0,h,False,BKN,22
55,74,1610612751,13,11,Thomas 25' 3PT Jump Shot (3 PTS) (Simmons 2 AST),Made Shot,Jump Shot,3200.0,v,False,BKN,22
56,76,1610612737,13,11,MISS Bogdanović 24' 3PT Jump Shot,Missed Shot,Jump Shot,3290.0,h,True,ATL,23
57,77,1610612751,13,11,Thomas REBOUND (Off:0 Def:1),Rebound,Unknown,3310.0,v,True,BKN,24
58,78,1610612751,13,13,C. Johnson 1' Driving Layup (4 PTS) (Simmons 3 AST),Made Shot,Driving Layup Shot,3390.0,v,False,BKN,24
59,80,1610612737,13,13,MISS Daniels 26' 3PT Jump Shot,Missed Shot,Jump Shot,3530.0,h,True,ATL,25
60,81,1610612751,13,13,Finney-Smith REBOUND (Off:0 Def:3),Rebound,Unknown,3560.0,v,True,BKN,26
61,82,1610612751,13,13,MISS C. Johnson 26' 3PT Jump Shot,Missed Shot,Jump Shot,3710.0,v,False,BKN,26
62,83,0,13,13,Nets Rebound,Rebound,Unknown,3720.0,v,False,BKN,26
63,84,1610612737,13,13,Daniels L.B.FOUL (P1.T2) (A.Nagy),Foul,Loose Ball,3720.0,h,False,BKN,26
64,86,1610612737,13,13,SUB: Okongwu FOR Capela,Substitution,,3720.0,h,False,BKN,26
65,87,1610612751,13,13,SUB: Clowney FOR Finney-Smith,Substitution,,3720.0,v,False,BKN,26
66,90,1610612751,13,13,MISS Clowney 24' 3PT Jump Shot,Missed Shot,Jump Shot,3880.0,v,False,BKN,26
67,91,1610612737,13,13,Young REBOUND (Off:0 Def:1),Rebound,Unknown,3910.0,h,True,ATL,27
68,92,1610612737,15,13,Okongwu 2' Running Alley Oop Layup Shot (2 PTS) (Young 3 AST),Made Shot,Running Alley Oop Layup Shot,3970.0,h,False,ATL,27
69,94,1610612751,15,13,MISS Thomas 26' 3PT Jump Shot,Missed Shot,Jump Shot,4100.0,v,True,BKN,28
70,95,1610612737,15,13,Hunter REBOUND (Off:0 Def:2),Rebound,Unknown,4140.0,h,True,ATL,29
71,96,1610612737,15,13,Young Bad Pass Turnover (P1.T3),Turnover,Bad Pass,4240.0,h,False,ATL,29
72,96,1610612751,15,13,Thomas STEAL (2 STL),,,4240.0,v,True,BKN,30
73,98,1610612737,15,13,Hunter S.FOUL (P2.T3) (D.Guthrie),Foul,Shooting,4290.0,h,False,BKN,30
74,100,1610612751,15,14,Clowney Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,4290.0,v,False,BKN,30
75,101,1610612737,15,14,SUB: Johnson FOR Hunter,Substitution,,4290.0,h,False,BKN,30
