,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (7:14 PM EST),period,start,0.0,,False,,0
1,4,1610612765,0,0,Jump Ball Duren vs. Turner: Tip to Cunningham,Jump Ball,,0.0,h,True,DET,1
2,7,1610612765,3,0,Hardaway Jr. 25' 3PT Jump Shot (3 PTS) (Cunningham 1 AST),Made Shot,Jump Shot,150.0,h,False,DET,1
3,9,1610612754,3,0,MISS Haliburton 27' 3PT Jump Shot,Missed Shot,Jump Shot,420.0,v,True,IND,2
4,10,1610612765,3,0,Duren REBOUND (Off:0 Def:1),Rebound,Unknown,450.0,h,True,DET,3
5,11,1610612765,3,0,MISS Ivey 3' Driving Layup,Missed Shot,Driving Layup Shot,520.0,h,False,DET,3
6,12,1610612754,3,0,Turner REBOUND (Off:0 Def:1),Rebound,Unknown,520.0,v,True,IND,4
7,13,1610612754,3,0,MISS Nesmith 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,570.0,v,False,IND,4
8,14,1610612765,3,0,Duren REBOUND (Off:0 Def:2),Rebound,Unknown,600.0,h,True,DET,5
9,15,1610612765,3,0,MISS Cunningham 2' Driving Layup,Missed Shot,Driving Layup Shot,680.0,h,False,DET,5
10,16,1610612754,3,0,Siakam REBOUND (Off:0 Def:1),Rebound,Unknown,720.0,v,True,IND,6
11,17,1610612754,3,2,Nembhard 12' Pullup Jump Shot (2 PTS) (Siakam 1 AST),Made Shot,Pullup Jump shot,800.0,v,False,IND,6
12,19,1610612765,3,2,MISS Cunningham 11' Jump Shot,Missed Shot,Jump Shot,1000.0,h,True,DET,7
13,19,1610612754,3,2,Haliburton BLOCK (1 BLK),,,1000.0,v,False,DET,7
14,21,0,3,2,PISTONS Rebound,Rebound,Unknown,1000.0,h,False,DET,7
15,23,1610612765,6,2,Hardaway Jr. 25' 3PT Jump Shot (6 PTS) (Cunningham 2 AST),Made Shot,Jump Shot,1030.0,h,False,DET,7
16,25,1610612754,6,2,MISS Nembhard 11' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1190.0,v,True,IND,8
17,26,1610612754,6,2,Siakam REBOUND (Off:1 Def:1),Rebound,Unknown,1220.0,v,False,IND,8
18,27,1610612754,6,2,Nembhard Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1250.0,v,False,IND,8
19,27,1610612765,6,2,Hardaway Jr. STEAL (1 STL),,,1250.0,h,True,DET,9
20,29,1610612765,6,2,MISS Harris 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1300.0,h,False,DET,9
21,30,1610612754,6,2,Siakam REBOUND (Off:1 Def:2),Rebound,Unknown,1330.0,v,True,IND,10
22,31,1610612765,6,2,Cunningham S.FOUL (P1.T1) (B.Barnaky),Foul,Shooting,1340.0,h,False,IND,10
23,33,1610612754,6,3,Nembhard Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,1340.0,v,False,IND,10
24,34,1610612754,6,4,Nembhard Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,1340.0,v,False,IND,10
25,35,1610612765,6,4,MISS Hardaway Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,1480.0,h,True,DET,11
26,36,1610612765,6,4,Duren REBOUND (Off:1 Def:2),Rebound,Unknown,1520.0,h,False,DET,11
27,37,1610612765,8,4,Harris 1' Cutting Layup Shot (2 PTS) (Duren 1 AST),Made Shot,Cutting Layup Shot,1540.0,h,False,DET,11
28,39,1610612754,8,4,MISS Nembhard 28' 3PT Jump Shot,Missed Shot,Jump Shot,1730.0,v,True,IND,12
29,40,0,8,4,PISTONS Rebound,Rebound,Unknown,1760.0,h,True,DET,13
30,42,1610612754,8,4,Nesmith S.FOUL (P1.T1) (T.Brothers),Foul,Shooting,1850.0,v,False,DET,13
