,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (8:14 PM EST),period,start,0.0,,False,,0
1,4,1610612740,0,0,Jump Ball Theis vs. Vučević: Tip to Jones,Jump Ball,,0.0,h,True,NOP,1
2,7,1610612740,2,0,Theis 2' Layup (2 PTS) (Murray 1 AST),Made Shot,Layup Shot,180.0,h,False,NOP,1
3,9,1610612741,2,2,Vučević 11' Hook Shot (2 PTS) (Giddey 1 AST),Made Shot,Hook Shot,290.0,v,True,CHI,2
4,11,1610612740,2,2,MISS Murray 25' 3PT Jump Shot,Missed Shot,Jump Shot,480.0,h,True,NOP,3
5,12,1610612741,2,2,Giddey REBOUND (Off:0 Def:1),Rebound,Unknown,500.0,v,True,CHI,4
6,14,1610612741,2,2,MISS Williams 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,630.0,v,False,CHI,4
7,15,1610612740,2,2,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,670.0,h,True,NOP,5
8,16,1610612740,4,2,McCollum 12' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,810.0,h,False,NOP,5
9,17,1610612741,4,2,MISS Vučević 26' 3PT Jump Shot,Missed Shot,Jump Shot,870.0,v,True,CHI,6
10,18,1610612740,4,2,Murray REBOUND (Off:0 Def:2),Rebound,Unknown,920.0,h,True,NOP,7
11,19,1610612741,4,2,White S.FOUL (P1.T1) (N.Green),Foul,Shooting,950.0,v,False,NOP,7
12,21,1610612740,5,2,Murray Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,950.0,h,False,NOP,7
13,22,1610612740,6,2,Murray Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,950.0,h,False,NOP,7
14,24,1610612741,6,5,Williams 27' 3PT Jump Shot (3 PTS) (LaVine 1 AST),Made Shot,Jump Shot,1120.0,v,True,CHI,8
15,26,1610612740,6,5,MISS Ingram 8' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1350.0,h,True,NOP,9
16,27,1610612741,6,5,LaVine REBOUND (Off:0 Def:1),Rebound,Unknown,1380.0,v,True,CHI,10
17,28,1610612740,6,5,Jones S.FOUL (P1.T1) (G.Petraitis),Foul,Shooting,1420.0,h,False,CHI,10
18,30,1610612741,6,6,Giddey Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1420.0,v,False,CHI,10
19,31,1610612741,6,7,Giddey Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1420.0,v,False,CHI,10
20,32,1610612740,6,7,MISS McCollum 26' 3PT Jump Shot,Missed Shot,Jump Shot,1600.0,h,True,NOP,11
21,33,1610612741,6,7,Vučević REBOUND (Off:0 Def:1),Rebound,Unknown,1630.0,v,True,CHI,12
22,34,1610612741,6,7,MISS White 29' 3PT Jump Shot,Missed Shot,Jump Shot,1810.0,v,False,CHI,12
23,35,1610612740,6,7,Ingram REBOUND (Off:0 Def:1),Rebound,Unknown,1840.0,h,True,NOP,13
24,36,1610612740,6,7,MISS Ingram 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1940.0,h,False,NOP,13
25,37,0,6,7,PELICANS Rebound,Rebound,Unknown,1940.0,h,False,NOP,13
26,39,1610612740,8,7,Jones 1' Layup (2 PTS) (Murray 2 AST),Made Shot,Layup Shot,1970.0,h,False,NOP,13
27,41,1610612741,8,7,Giddey Bad Pass Turnover (P1.T1),Turnover,Bad Pass,2150.0,v,True,CHI,14
28,41,1610612740,8,7,Ingram STEAL (1 STL),,,2150.0,h,True,NOP,15
29,43,1610612740,8,7,MISS McCollum 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,2230.0,h,False,NOP,15
30,44,1610612741,8,7,Giddey REBOUND (Off:0 Def:2),Rebound,Unknown,2270.0,v,True,CHI,16
31,45,1610612741,8,7,MISS Giddey 26' 3PT Jump Shot,Missed Shot,Jump Shot,2410.0,v,False,CHI,16
32,46,0,8,7,PELICANS Rebound,Rebound,Unknown,2430.0,h,True,NOP,17
33,47,1610612741,8,7,Vučević L.B.FOUL (P1.T2) (N.Green),Foul,Loose Ball,2430.0,v,False,NOP,17
