,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (7:15 PM EST),period,start,0.0,,False,,0
1,4,1610612764,0,0,Jump Ball Sarr vs. Horford: Tip to White,Jump Ball,,0.0,h,True,BOS,1
2,7,1610612738,0,0,MISS Brown 10' Floating Jump Shot,Missed Shot,Floating Jump shot,80.0,v,False,BOS,1
3,8,1610612764,0,0,Sarr REBOUND (Off:0 Def:1),Rebound,Unknown,110.0,h,True,WAS,2
4,9,1610612764,0,0,Coulibaly Traveling Turnover (P1.T1),Turnover,Traveling,200.0,h,False,WAS,2
5,10,1610612738,0,3,White 26' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,370.0,v,True,BOS,3
6,11,1610612764,3,3,Poole 27' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,510.0,h,True,WAS,4
7,12,1610612738,3,5,Tatum 3' Driving Layup (2 PTS) (White 1 AST),Made Shot,Driving Layup Shot,610.0,v,True,BOS,5
8,14,0,3,5,Celtics Violation: Delay of game Violation,Violation,Delay Of Game,610.0,v,True,WAS,6
9,15,1610612764,3,5,MISS Poole 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,680.0,h,False,WAS,6
10,16,0,3,5,WIZARDS Rebound,Rebound,Unknown,710.0,h,False,WAS,6
11,18,1610612764,3,5,MISS Sarr 26' 3PT Jump Shot,Missed Shot,Jump Shot,770.0,h,False,WAS,6
12,19,1610612738,3,5,Tatum REBOUND (Off:0 Def:1),Rebound,Unknown,800.0,v,True,BOS,7
13,20,1610612738,3,5,Horford Lost Ball Turnover (P1.T1),Turnover,Lost Ball,900.0,v,False,BOS,7
14,20,1610612764,3,5,Poole STEAL (1 STL),,,900.0,h,True,WAS,8
15,22,1610612764,3,5,MISS Carrington 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,950.0,h,False,WAS,8
16,23,1610612738,3,5,Horford REBOUND (Off:0 Def:1),Rebound,Unknown,980.0,v,True,BOS,9
17,24,1610612738,3,5,MISS Brown 3' Driving Layup,Missed Shot,Driving Layup Shot,1030.0,v,False,BOS,9
18,24,1610612764,3,5,Carrington BLOCK (1 BLK),,,1030.0,h,False,BOS,9
19,26,0,3,5,Celtics Rebound,Rebound,Unknown,1030.0,v,False,BOS,9
20,28,1610612764,3,5,Jump Ball Carrington vs. Brown: Tip to Tatum,Jump Ball,,1070.0,h,False,BOS,9
