,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (10:12 PM EST),period,start,0.0,,False,,0
1,4,1610612758,0,0,Jump Ball Sabonis vs. Gobert: Tip to Huerter,Jump Ball,,0.0,h,True,SAC,1
2,7,1610612750,0,0,McDaniels S.FOUL (P1.T1) (J.Van Duyne),Foul,Shooting,190.0,v,False,SAC,1
3,9,1610612758,0,0,MISS Sabonis Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,190.0,h,False,SAC,1
4,10,0,0,0,KINGS Rebound,Rebound,Normal Rebound,190.0,h,False,SAC,1
5,11,1610612758,1,0,Sabonis Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,190.0,h,False,SAC,1
6,12,1610612750,1,0,Randle Lost Ball Turnover (P1.T1),Turnover,Lost Ball,290.0,v,True,MIN,2
7,12,1610612758,1,0,Fox STEAL (1 STL),,,290.0,h,True,SAC,3
8,14,1610612758,3,0,DeRozan 1' Running Layup (2 PTS) (Fox 1 AST),Made Shot,Running Layup Shot,340.0,h,False,SAC,3
9,16,1610612750,3,0,MISS McDaniels 6' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,500.0,v,True,MIN,4
10,17,1610612758,3,0,Huerter REBOUND (Off:0 Def:1),Rebound,Unknown,520.0,h,True,SAC,5
11,18,1610612758,3,0,MISS DeRozan 3PT Jump Shot,Missed Shot,Jump Shot,620.0,h,False,SAC,5
12,19,1610612758,3,0,DeRozan REBOUND (Off:1 Def:0),Rebound,Unknown,640.0,h,False,SAC,5
13,20,1610612750,3,0,Randle S.FOUL (P1.T2) (S.Mehta),Foul,Shooting,720.0,v,False,SAC,5
14,22,1610612758,4,0,Sabonis Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,720.0,h,False,SAC,5
15,23,1610612758,5,0,Sabonis Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,720.0,h,False,SAC,5
16,24,1610612750,5,2,McDaniels 16' Pullup Jump Shot (2 PTS) (Edwards 1 AST),Made Shot,Pullup Jump shot,940.0,v,True,MIN,6
17,27,1610612758,5,2,Jump Ball Sabonis vs. Gobert: Tip to Conley,Jump Ball,,1080.0,h,True,SAC,7
18,30,1610612758,5,2,Sabonis Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1080.0,h,False,SAC,7
19,30,1610612750,5,2,Gobert STEAL (1 STL),,,1080.0,v,True,MIN,8
20,32,1610612750,5,5,Edwards 25' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,1270.0,v,False,MIN,8
21,33,1610612758,5,5,MISS DeRozan 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1420.0,h,True,SAC,9
22,34,1610612750,5,5,Gobert REBOUND (Off:0 Def:1),Rebound,Unknown,1440.0,v,True,MIN,10
23,35,1610612750,5,5,Gobert Lost Ball Turnover (P1.T2),Turnover,Lost Ball,1450.0,v,False,MIN,10
24,35,1610612758,5,5,Sabonis STEAL (1 STL),,,1450.0,h,True,SAC,11
25,37,1610612758,5,5,Sabonis Bad Pass Turnover (P2.T2),Turnover,Bad Pass,1480.0,h,False,SAC,11
26,37,1610612750,5,5,Gobert STEAL (2 STL),,,1480.0,v,True,MIN,12
27,39,1610612750,5,8,Randle 25' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,1570.0,v,False,MIN,12
28,40,1610612758,7,8,Fox 10' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1670.0,h,True,SAC,13
29,42,1610612750,7,8,MISS Conley 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1770.0,v,True,MIN,14
30,43,1610612758,7,8,Huerter REBOUND (Off:0 Def:2),Rebound,Unknown,1800.0,h,True,SAC,15
31,44,1610612758,9,8,Murray 16' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,1910.0,h,False,SAC,15
32,45,1610612750,9,8,Gobert Lane Violation Turnover (P2.T3),Turnover,Lane Violation,2030.0,v,True,MIN,16
33,46,1610612758,11,8,Fox 8' Fadeaway Jumper (4 PTS),Made Shot,Fadeaway Jump Shot,2140.0,h,True,SAC,17
34,47,1610612750,11,8,MISS Randle 25' 3PT Jump Shot,Missed Shot,Jump Shot,2310.0,v,True,MIN,18
35,48,1610612750,11,8,McDaniels REBOUND (Off:1 Def:0),Rebound,Unknown,2350.0,v,False,MIN,18
36,49,1610612750,11,8,MISS McDaniels 7' Putback Layup,Missed Shot,Putback Layup Shot,2370.0,v,False,MIN,18
37,50,1610612758,11,8,Sabonis REBOUND (Off:0 Def:1),Rebound,Unknown,2390.0,h,True,SAC,19
38,51,1610612758,11,8,Fox Out of Bounds Lost Ball Turnover (P1.T3),Turnover,Out of Bounds Lost Ball Turnover,2410.0,h,False,SAC,19
39,52,1610612750,11,8,Gobert OFF.Foul (P1) (J.Van Duyne),Foul,Offensive,2490.0,v,True,MIN,20
40,54,1610612750,11,8,Gobert Offensive Foul Turnover (P3.T4),Turnover,Offensive Foul Turnover,2490.0,v,False,MIN,20
41,55,1610612758,11,8,MISS Sabonis 5' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,2630.0,h,True,SAC,21
42,56,1610612750,11,8,Gobert REBOUND (Off:0 Def:2),Rebound,Unknown,2660.0,v,True,MIN,22
43,57,1610612750,11,8,MISS Edwards 25' 3PT Jump Shot,Missed Shot,Jump Shot,2780.0,v,False,MIN,22
44,58,1610612758,11,8,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,2810.0,h,True,SAC,23
45,59,1610612758,14,8,Sabonis 26' 3PT Jump Shot (6 PTS) (Fox 2 AST),Made Shot,Jump Shot,2920.0,h,False,SAC,23
46,61,1610612750,14,8,MISS McDaniels 25' 3PT Jump Shot,Missed Shot,Jump Shot,3060.0,v,True,MIN,24
47,62,0,14,8,Timberwolves Rebound,Rebound,Unknown,3060.0,v,False,MIN,24
48,64,1610612758,14,8,Sabonis L.B.FOUL (P1.T1) (T.Ford),Foul,Loose Ball,3060.0,h,False,MIN,24
49,66,0,14,8,KINGS Timeout: Regular (Full 1 Short 0),Timeout,Regular,3060.0,h,False,MIN,24
50,67,1610612750,14,11,Randle 25' 3PT Jump Shot (6 PTS) (Conley 1 AST),Made Shot,Jump Shot,3140.0,v,False,MIN,24
51,69,1610612758,14,11,MISS Murray 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,3320.0,h,True,SAC,25
52,70,1610612750,14,11,Gobert REBOUND (Off:0 Def:3),Rebound,Unknown,3360.0,v,True,MIN,26
53,71,1610612750,14,11,Edwards Lost Ball Turnover (P1.T5),Turnover,Lost Ball,3420.0,v,False,MIN,26
54,71,1610612758,14,11,DeRozan STEAL (1 STL),,,3420.0,h,True,SAC,27
55,73,1610612758,17,11,Fox 28' 3PT Jump Shot (7 PTS) (Murray 1 AST),Made Shot,Jump Shot,3520.0,h,False,SAC,27
56,75,1610612750,17,11,MISS Edwards 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,3780.0,v,True,MIN,28
57,76,0,17,11,KINGS Rebound,Rebound,Unknown,3780.0,h,True,SAC,29
58,78,1610612758,17,11,SUB: Monk FOR Fox,Substitution,,3780.0,h,False,SAC,29
59,79,1610612758,17,11,SUB: Ellis FOR Huerter,Substitution,,3780.0,h,False,SAC,29
60,82,1610612758,17,11,MISS DeRozan 16' Jump Shot,Missed Shot,Jump Shot,3910.0,h,False,SAC,29
61,83,1610612750,17,11,Gobert REBOUND (Off:0 Def:4),Rebound,Unknown,3930.0,v,True,MIN,30
62,84,1610612758,17,11,Monk S.FOUL (P1.T2) (S.Mehta),Foul,Shooting,4090.0,h,False,MIN,30
63,86,1610612750,17,12,McDaniels Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,4090.0,v,False,MIN,30
64,87,1610612750,17,12,SUB: Reid FOR Conley,Substitution,,4090.0,v,False,MIN,30
65,88,1610612750,17,12,SUB: DiVincenzo FOR Randle,Substitution,,4090.0,v,False,MIN,30
66,91,1610612750,17,13,McDaniels Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,4090.0,v,False,MIN,30
67,92,1610612758,17,13,MISS Murray 27' 3PT Jump Shot,Missed Shot,Jump Shot,4220.0,h,True,SAC,31
68,93,1610612750,17,13,Edwards REBOUND (Off:0 Def:1),Rebound,Unknown,4260.0,v,True,MIN,32
69,94,1610612750,17,13,Edwards Bad Pass Turnover (P2.T6),Turnover,Bad Pass,4330.0,v,False,MIN,32
70,94,1610612758,17,13,Ellis STEAL (1 STL),,,4330.0,h,True,SAC,33
71,96,1610612758,19,13,Monk 8' Running Layup (2 PTS),Made Shot,Running Layup Shot,4400.0,h,False,SAC,33
72,97,1610612750,19,13,MISS Reid 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,4510.0,v,True,MIN,34
73,98,1610612758,19,13,Ellis REBOUND (Off:0 Def:1),Rebound,Unknown,4510.0,h,True,SAC,35
74,99,1610612758,21,13,Monk 13' Floating Jump Shot (4 PTS) (Sabonis 1 AST),Made Shot,Floating Jump shot,4690.0,h,False,SAC,35
75,101,1610612750,21,16,Edwards 3PT Jump Shot (6 PTS) (McDaniels 1 AST),Made Shot,Jump Shot,4970.0,v,True,MIN,36
76,103,1610612750,21,16,Edwards S.FOUL (P1.T3) (J.Van Duyne),Foul,Shooting,5110.0,v,True,SAC,37
77,105,1610612758,21,16,MISS DeRozan Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,5110.0,h,False,SAC,37
78,106,0,21,16,KINGS Rebound,Rebound,Normal Rebound,5110.0,h,False,SAC,37
79,107,1610612758,21,16,SUB: Lyles FOR Murray,Substitution,,5110.0,h,False,SAC,37
80,108,1610612750,21,16,SUB: Alexander-Walker FOR McDaniels,Substitution,,5110.0,v,False,SAC,37
81,111,1610612758,22,16,DeRozan Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,5110.0,h,False,SAC,37
82,112,1610612750,22,19,Alexander-Walker 25' 3PT Jump Shot (3 PTS) (Edwards 2 AST),Made Shot,Jump Shot,5240.0,v,True,MIN,38
