ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
201939202710203110203482162897116305411630631164172216417641642274,201939,202710,203110,1630541,1641764,203482,1628971,1630631,1641722,1642274,16,6,10,11,13,24,3600,145.45454545454547,46.15384615384615,99.3006993006993,0.16783216783216784,2024-25
20193920311016289711630541163063116302281630526163061116417221642274,201939,203110,1630541,1628971,1630631,1641722,1642274,1630228,1630611,1630526,0,2,-2,2,1,3,440,0.0,200.0,-200.0,1.5,2024-25
20193916289711630228163061116417222039011627741163052616312551642366,201939,1628971,1641722,1630228,1630611,1630526,1627741,1642366,203901,1631255,2,0,2,0,1,1,210,,0.0,,inf,2024-25
20193916289711630228163052616306112039011627741163125516418101642366,201939,1628971,1630228,1630611,1630526,1627741,1642366,203901,1631255,1641810,4,10,-6,6,6,12,1330,66.66666666666666,166.66666666666669,-100.00000000000003,0.3333333333333333,2024-25
2039011627741163022816305261642366202710203482163125516417641641810,1630228,1630526,1627741,1642366,203901,1631255,1641810,202710,1641764,203482,6,3,3,6,6,12,1570,100.0,50.0,50.0,0.3333333333333333,2024-25
202710203901163022816312551641810203110203482163054116417221641764,1630228,203901,1631255,1641810,202710,1641764,203482,203110,1630541,1641722,0,0,0,2,0,2,50,0.0,,,inf,2024-25
2027102034821631255164176416418102031101630541163063116312321642366,1631255,1641810,202710,1641764,203482,203110,1630541,1642366,1630631,1631232,0,3,-3,3,4,7,1200,0.0,75.0,-75.0,0.5833333333333334,2024-25
2027102031102034821641764164181016305411630631163123216422741642366,1641810,202710,1641764,203482,203110,1630541,1642366,1630631,1631232,1642274,4,3,1,4,4,8,1150,100.0,75.0,25.0,0.5,2024-25
2034821630541163123216418101642274201939203901162617216302281630611,1641810,203482,1630541,1631232,1642274,201939,1626172,1630228,1630611,203901,0,2,-2,1,1,2,460,0.0,200.0,-200.0,2.0,2024-25
20193916261721630228163123216422742039011627741163052616306111641722,1631232,1642274,201939,1626172,1630228,1630611,203901,1627741,1630526,1641722,0,0,0,1,0,1,100,0.0,,,inf,2024-25
20193916261721630228163061116422742039011627741162897116305261641722,1642274,201939,1626172,1630228,1630611,203901,1627741,1630526,1641722,1628971,5,9,-4,5,6,11,1380,100.0,150.0,-50.0,0.36666666666666664,2024-25
2019392039011626172163022816422742027101627741162897116305261641722,1642274,201939,1626172,1630228,203901,1627741,1630526,1641722,1628971,202710,9,5,4,4,3,7,930,225.0,166.66666666666669,58.333333333333314,0.5833333333333334,2024-25
201939162774116302281641722164227420271020311020348216289711630631,1642274,201939,1630228,1627741,1641722,1628971,202710,203110,203482,1630631,2,0,2,1,1,2,420,200.0,0.0,200.0,2.0,2024-25
201939162897116302281641722164227420271020311020348216306311641764,1642274,201939,1630228,1641722,1628971,202710,203110,203482,1630631,1641764,5,7,-2,5,5,10,1205,100.0,140.0,-40.0,0.4,2024-25
2019391628971163022816417221642274202710203482163063116417641642366,1642274,201939,1630228,1641722,1628971,202710,203482,1630631,1641764,1642366,0,0,0,2,1,3,355,0.0,0.0,0.0,1.5,2024-25
201939202710162897116417221642274203110203482163054116306311641764,1642274,201939,1641722,1628971,202710,203482,1630631,1641764,203110,1630541,7,13,-6,7,8,15,2600,100.0,162.5,-62.5,0.26785714285714285,2024-25
2019392027101628971164172216422742031101630526163054116306311641764,1642274,201939,1641722,1628971,202710,1630631,1641764,203110,1630541,1630526,2,4,-2,4,3,7,650,50.0,133.33333333333331,-83.33333333333331,0.5833333333333334,2024-25
20193916289711630541164172216422742039011626172163022816305261630611,1642274,201939,1641722,1628971,1630541,1630526,1626172,1630228,1630611,203901,2,3,-1,1,1,2,680,200.0,300.0,-100.0,2.0,2024-25
20193916261721628971163052616417222039011627741163022816306111631255,201939,1641722,1628971,1630526,1626172,1630228,1630611,203901,1627741,1631255,3,4,-1,3,3,6,1000,100.0,133.33333333333331,-33.333333333333314,0.6666666666666666,2024-25
20193916261721628971163022816305262039011627741163061116312551641810,201939,1628971,1630526,1626172,1630228,1630611,203901,1627741,1631255,1641810,2,2,0,0,1,1,300,,200.0,,inf,2024-25
20193916261721630228163052616306112039011627741163123216312551641810,201939,1630526,1626172,1630228,1630611,203901,1627741,1631255,1641810,1631232,3,2,1,1,1,2,200,300.0,200.0,100.0,2.0,2024-25
20390116277411630228163052616312552027101631232164176416418101642366,1630526,1630228,203901,1627741,1631255,1641810,1631232,202710,1641764,1642366,10,5,5,7,8,15,1770,142.85714285714286,62.5,80.35714285714286,0.26785714285714285,2024-25
2039011627741163052616312551641810202710203110163123216417641642366,1630526,203901,1627741,1631255,1641810,1631232,202710,1641764,1642366,203110,0,6,-6,3,2,5,900,0.0,300.0,-300.0,0.8333333333333334,2024-25
