ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
201599101108201142202704162616416289711629006162902816311281631212,201599,202704,1628971,1631128,1631212,101108,201142,1626164,1629006,1629028,6,7,-1,7,9,16,2780,85.71428571428571,77.77777777777779,7.9365079365079225,0.25396825396825395,2022-23
2015992027041628971163112816312122011421626164162616616290061629028,201599,202704,1628971,1631128,1631212,201142,1626164,1629006,1629028,1626166,6,2,4,5,5,10,1380,120.0,40.0,80.0,0.4,2022-23
20114220159916289711631128163121216261641626166162842716290061629028,201599,1628971,1631128,1631212,201142,1626164,1629006,1629028,1626166,1628427,3,2,1,2,2,4,720,150.0,100.0,50.0,1.0,2022-23
16261641626166162897116290061631128201145202687162842716284701630192,1628971,1631128,1626164,1629006,1626166,1628427,201145,1630192,202687,1628470,0,0,0,1,0,1,130,0.0,,,inf,2022-23
2011451626164162616616284271628971202397202687162847016290131630192,1628971,1626164,1626166,1628427,201145,1630192,202687,1628470,202397,1629013,0,2,-2,0,0,0,80,,,,,2022-23
201145162616416261661628427163019220239720268720270416284701629013,1626164,1626166,1628427,201145,1630192,202687,1628470,202397,1629013,202704,12,12,0,9,8,17,2110,133.33333333333331,150.0,-16.666666666666686,0.2361111111111111,2022-23
2011452023971628427162847016301921011082011422027042030821629111,1628427,201145,1630192,1628470,202397,202704,101108,201142,203082,1629111,7,7,0,5,6,11,1620,140.0,116.66666666666667,23.33333333333333,0.36666666666666664,2022-23
10110820114520239716284271630192201142203082162897116291111630688,1628427,201145,1630192,202397,101108,201142,203082,1629111,1628971,1630688,5,4,1,5,5,10,1470,100.0,80.0,20.0,0.4,2022-23
10110820114220114520239716284272030821628971162902816306881631128,1628427,201145,202397,101108,201142,203082,1628971,1630688,1631128,1629028,0,3,-3,2,2,4,530,0.0,150.0,-150.0,1.0,2022-23
10110820114220239720308216289712015991626164162902816311281631212,202397,101108,201142,203082,1628971,1631128,1629028,201599,1631212,1626164,3,6,-3,4,3,7,870,75.0,200.0,-125.0,0.5833333333333334,2022-23
101108201142202397162897116311282015991626164162900616290281631212,202397,101108,201142,1628971,1631128,1629028,201599,1631212,1626164,1629006,7,2,5,5,5,10,1350,140.0,40.0,100.0,0.4,2022-23
101108201142162897116290281631128201599202704162616416290061631212,101108,201142,1628971,1631128,1629028,201599,1631212,1626164,1629006,202704,25,33,-8,21,20,41,6460,119.04761904761905,165.0,-45.95238095238095,0.09761904761904762,2022-23
201145201599162616416290061631128202397202687162842716284701629013,1631128,201599,1626164,1629006,201145,202397,1628427,202687,1628470,1629013,2,0,2,0,1,1,270,,0.0,,inf,2022-23
201145202397162616416284271631128202687203082162847016290131630192,1631128,1626164,201145,202397,1628427,202687,1628470,1629013,1630192,203082,13,6,7,6,6,12,1830,216.66666666666666,100.0,116.66666666666666,0.3333333333333333,2022-23
