ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
203924162901416290231629028162902916296551629656163070216311011641739,1629023,1629029,1629655,1629656,1630702,203924,1629014,1629028,1631101,1641739,13,6,7,10,10,20,2390,130.0,60.0,70.0,0.2,2024-25
20392416290231629029162965616307022039391629014162902816311011641739,1629023,1629029,1629656,1630702,203924,1629014,1629028,1631101,1641739,203939,7,4,3,5,4,9,1380,140.0,100.0,40.0,0.45,2024-25
20392416290141629023162902916296562039151629028162965516301661641739,1629023,1629029,1629656,203924,1629014,1629028,1641739,203915,1629655,1630166,0,2,-2,0,1,1,110,,200.0,,inf,2024-25
20392416290141629028162902916296562039151628467162965516301661641739,1629029,1629656,203924,1629014,1629028,1641739,203915,1629655,1630166,1628467,2,2,0,3,3,6,660,66.66666666666666,66.66666666666666,0.0,0.6666666666666666,2024-25
20392416290141629028162965616417392039151628467162902316296551630166,1629656,203924,1629014,1629028,1641739,203915,1629655,1630166,1628467,1629023,0,6,-6,3,3,6,550,0.0,200.0,-200.0,0.6666666666666666,2024-25
203915162901416290281629656164173916284671629023162965516301661630625,1629656,1629014,1629028,1641739,203915,1629655,1630166,1628467,1629023,1630625,5,2,3,4,3,7,820,125.0,66.66666666666666,58.33333333333334,0.5833333333333334,2024-25
203915162846716296551629656163016616290231630625163110116311331631200,1629656,203915,1629655,1630166,1628467,1629023,1630625,1631101,1631133,1631200,0,3,-3,2,2,4,737,0.0,150.0,-150.0,1.0,2024-25
203915162846716290231629655163016616306251630702163110116311331631200,203915,1629655,1630166,1628467,1629023,1630625,1631101,1631133,1631200,1630702,2,0,2,0,2,2,553,,0.0,,inf,2024-25
20391516301661630625163110116311332039391629029163070216312001641765,203915,1630166,1630625,1631101,1631133,1631200,1630702,203939,1629029,1641765,7,7,0,7,6,13,1960,100.0,116.66666666666667,-16.66666666666667,0.30952380952380953,2024-25
2039151630625163070216311011631133203924203939162846716290141629029,203915,1630625,1631101,1631133,1630702,203939,1629029,1628467,203924,1629014,0,0,0,0,1,1,190,,0.0,,inf,2024-25
2039152039391630625163070216311012039241628467162901416290281629029,203915,1630625,1631101,1630702,203939,1629029,1628467,203924,1629014,1629028,0,0,0,1,0,1,150,0.0,,,inf,2024-25
20391516284671629029163062516311012039241629014162902816296551629656,203915,1630625,1631101,1629029,1628467,203924,1629014,1629028,1629655,1629656,2,2,0,1,2,3,370,200.0,100.0,100.0,1.5,2024-25
203924162846716290291630625163110116290141629023162902816296551629656,1630625,1631101,1629029,1628467,203924,1629014,1629028,1629655,1629656,1629023,0,2,-2,1,1,2,180,0.0,200.0,-200.0,2.0,2024-25
203924162846716290291630625163110116290231629028162965516296561641739,1630625,1631101,1629029,1628467,203924,1629028,1629655,1629656,1629023,1641739,0,3,-3,1,1,2,160,0.0,300.0,-300.0,2.0,2024-25
203924162846716290281629029163062516290231629655162965616417121641739,1630625,1629029,1628467,203924,1629028,1629655,1629656,1629023,1641739,1641712,5,2,3,3,2,5,740,166.66666666666669,100.0,66.66666666666669,0.8333333333333334,2024-25
20392416284671629028162965516306252039151629023162965616417121641739,1630625,1628467,203924,1629028,1629655,1629656,1629023,1641739,1641712,203915,5,0,5,2,3,5,780,250.0,0.0,250.0,0.8333333333333334,2024-25
20392416290281629655162965616306252039151629023162902916417121641739,1630625,203924,1629028,1629655,1629656,1629023,1641739,1641712,203915,1629029,0,4,-4,2,2,4,540,0.0,200.0,-200.0,1.0,2024-25
20392416290281629655162965616306252039151629023162902916301661641739,1630625,203924,1629028,1629655,1629656,1629023,1641739,203915,1629029,1630166,2,6,-4,3,2,5,570,66.66666666666666,300.0,-233.33333333333334,0.8333333333333334,2024-25
20392416290231629028162965516296562039151629029163016616311011641739,203924,1629028,1629655,1629656,1629023,1641739,203915,1629029,1630166,1631101,8,10,-2,6,8,14,1560,133.33333333333331,125.0,8.333333333333314,0.2916666666666667,2024-25
203924162902316290281629655162965616290141629029163070216311011641739,203924,1629028,1629655,1629656,1629023,1641739,1629029,1631101,1630702,1629014,19,19,0,11,10,21,3260,172.72727272727272,190.0,-17.27272727272728,0.19090909090909092,2024-25
20392416290281629029162965516417392039151628467162901416307021631101,203924,1629028,1629655,1641739,1629029,1631101,1630702,1629014,203915,1628467,8,7,1,5,6,11,1430,160.0,116.66666666666667,43.33333333333333,0.36666666666666664,2024-25
2039241629014162902816290291641739203915203939162846716296561630166,203924,1629028,1641739,1629029,1629014,203915,1628467,203939,1629656,1630166,5,3,2,2,2,4,900,250.0,150.0,100.0,1.0,2024-25
2039152039241629014162902916417392039391628467162965616301661631133,203924,1641739,1629029,1629014,203915,1628467,203939,1629656,1630166,1631133,3,5,-2,3,2,5,970,100.0,250.0,-150.0,0.8333333333333334,2024-25
2039152039242039391628467162901416290231629656163016616311011631133,203924,1629014,203915,1628467,203939,1629656,1630166,1631133,1629023,1631101,2,2,0,1,2,3,519,200.0,100.0,100.0,1.5,2024-25
2039152039242039391628467162965616290231630166163062516311011631133,203924,203915,1628467,203939,1629656,1630166,1631133,1629023,1631101,1630625,2,3,-1,3,1,4,121,66.66666666666666,300.0,-233.33333333333334,1.3333333333333333,2024-25
20391520393916284671630166163113316290231629028163062516307021631101,203915,1628467,203939,1630166,1631133,1629023,1631101,1630625,1630702,1629028,6,12,-6,6,7,13,2160,100.0,171.42857142857142,-71.42857142857142,0.30952380952380953,2024-25
20391520393916284671630166163113316290231630625163070216311011641739,203915,1628467,203939,1630166,1631133,1629023,1631101,1630625,1630702,1641739,0,1,-1,0,0,0,100,,,,,2024-25
2039152039391628467162902316301662039241629014163070216311011641739,203915,1628467,203939,1630166,1629023,1631101,1630702,1641739,203924,1629014,0,0,0,0,0,0,20,,,,,2024-25
2039152039391628467162902316301662039241630625163070216311011641739,203915,1628467,203939,1630166,1629023,1631101,1630702,1641739,203924,1630625,3,0,3,2,1,3,500,150.0,0.0,150.0,1.5,2024-25
2039152039391628467162902316301662039241629029163062516311011641739,203915,1628467,203939,1630166,1629023,1631101,1641739,203924,1630625,1629029,3,2,1,0,1,1,270,,200.0,,inf,2024-25
20391516284671629023163016616311012039241629029162965616306251641739,203915,1628467,1630166,1629023,1631101,1641739,203924,1630625,1629029,1629656,18,12,6,10,9,19,3270,180.0,133.33333333333331,46.666666666666686,0.2111111111111111,2024-25
20391516290231630166163110116417392039241629029162965516296561630625,203915,1630166,1629023,1631101,1641739,203924,1630625,1629029,1629656,1629655,2,7,-5,3,3,6,581,66.66666666666666,233.33333333333334,-166.66666666666669,0.6666666666666666,2024-25
