ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
201942202696203897203991162902716296311630172163023516302451631100,201942,202696,203897,1630172,1630245,203991,1629027,1629631,1630235,1631100,12,12,0,10,11,21,3010,120.0,109.09090909090908,10.90909090909092,0.19090909090909092,2022-23
20194220269620389716301721630245203991203992162902716302351631100,201942,202696,203897,1630172,1630245,203991,1629027,1630235,1631100,203992,3,2,1,4,4,8,980,75.0,50.0,25.0,0.5,2022-23
202696203897203991163017216302452039921627884162902716302351631100,202696,203897,1630172,1630245,203991,1629027,1630235,1631100,203992,1627884,2,4,-2,2,2,4,630,100.0,200.0,-100.0,1.0,2022-23
202696203897203991162902716301722039921627884162963216302351630552,202696,203897,1630172,203991,1629027,1630235,203992,1627884,1629632,1630552,0,2,-2,1,2,3,420,0.0,100.0,-100.0,1.5,2022-23
2026962038971629027163017216302352039921627884162963216301681630552,202696,203897,1630172,1629027,1630235,203992,1627884,1629632,1630552,1630168,0,0,0,1,0,1,230,0.0,,,inf,2022-23
202696203897203992162788416302352016091628988162963216301681630552,202696,203897,1630235,203992,1627884,1629632,1630552,1630168,201609,1628988,2,0,2,1,1,2,290,200.0,0.0,200.0,2.0,2022-23
20399216278841629632163016816305522016092019422030832032001628988,203992,1627884,1629632,1630552,1630168,201609,1628988,201942,203083,203200,8,8,0,10,11,21,2760,80.0,72.72727272727273,7.272727272727266,0.19090909090909092,2022-23
201609203992162963216301681630552201942203083162898816296311629750,203992,1629632,1630552,1630168,201609,1628988,201942,203083,1629750,1629631,6,7,-1,4,3,7,1060,150.0,233.33333333333334,-83.33333333333334,0.5833333333333334,2022-23
201609203083203992162975016301682038971629027162963116302451631100,203992,1630168,201609,203083,1629750,1629631,203897,1630245,1629027,1631100,6,1,5,3,4,7,800,200.0,25.0,175.0,0.5833333333333334,2022-23
20308320389716296311629750163016816290271630172163023516302451631100,1630168,203083,1629750,1629631,203897,1630245,1629027,1631100,1630172,1630235,0,1,-1,1,1,2,180,0.0,100.0,-100.0,2.0,2022-23
20389716296311629750163016816302452026961629027163017216302351631100,1630168,1629750,1629631,203897,1630245,1629027,1631100,1630172,1630235,202696,2,0,2,1,1,2,140,200.0,0.0,200.0,2.0,2022-23
20389716290271629631163016816302452026961629632163017216302351631100,1630168,1629631,203897,1630245,1629027,1631100,1630172,1630235,202696,1629632,3,4,-1,3,2,5,1090,100.0,200.0,-100.0,0.8333333333333334,2022-23
2038971629027162963116301681630245201942202696163017216302351631100,1630168,1629631,203897,1630245,1629027,1631100,1630172,1630235,202696,201942,4,1,3,3,4,7,910,133.33333333333331,25.0,108.33333333333331,0.5833333333333334,2022-23
20389716290271630172163024516311002019422026962039912039921630235,203897,1630245,1629027,1631100,1630172,1630235,202696,201942,203991,203992,2,3,-1,3,2,5,540,66.66666666666666,150.0,-83.33333333333334,0.8333333333333334,2022-23
20389716290271630172163023516311002019422026962039912039921629632,203897,1629027,1631100,1630172,1630235,202696,201942,203991,203992,1629632,8,5,3,5,4,9,1360,160.0,125.0,35.0,0.45,2022-23
203897162902716301721630235163110020194220269620399116296311629750,203897,1629027,1631100,1630172,1630235,202696,201942,203991,1629750,1629631,15,11,4,11,12,23,3360,136.36363636363635,91.66666666666666,44.69696969696969,0.17424242424242425,2022-23
