ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
2034842039322039991627750162838016290081629640163017016311031631110,203484,203932,203999,1627750,1629008,1628380,1629640,1630170,1631103,1631110,8,21,-13,13,12,25,3450,61.53846153846154,175.0,-113.46153846153845,0.16025641025641027,2022-23
2034842039322039991627750162900816283801629640163020016311031631110,203484,203932,203999,1627750,1629008,1628380,1629640,1631103,1631110,1630200,4,5,-1,3,4,7,990,133.33333333333331,125.0,8.333333333333314,0.5833333333333334,2022-23
203484203932203999162775016290082039261629640162964616302001631110,203484,203932,203999,1627750,1629008,1629640,1631110,1630200,203926,1629646,7,2,5,4,3,7,770,175.0,66.66666666666666,108.33333333333334,0.5833333333333334,2022-23
203926203999162775016296401630200201145202704162896616289711629646,203999,1627750,1629640,1630200,203926,1629646,201145,202704,1628971,1628966,3,1,2,1,2,3,370,300.0,50.0,250.0,1.5,2022-23
201145203926203999162964616302002027041628966162897116301701631128,203999,1630200,203926,1629646,201145,202704,1628971,1628966,1631128,1630170,3,5,-2,3,3,6,790,100.0,166.66666666666669,-66.66666666666669,0.6666666666666666,2022-23
2011452027042039261629646163020016284181628966162897116301701631128,1630200,203926,1629646,201145,202704,1628971,1628966,1631128,1630170,1628418,1,4,-3,2,3,5,830,50.0,133.33333333333331,-83.33333333333331,0.8333333333333334,2022-23
2011452027042039261628966162897116283801628418163017016311101631128,203926,201145,202704,1628971,1628966,1631128,1630170,1628418,1628380,1631110,6,3,3,5,4,9,1450,120.0,75.0,45.0,0.45,2022-23
2011452027042039261628971163112816283801628418163017016311031631110,203926,201145,202704,1628971,1631128,1630170,1628418,1628380,1631110,1631103,2,0,2,1,2,3,320,200.0,0.0,200.0,1.5,2022-23
201145202704203926163017016311282034841628380162841816311031631110,203926,201145,202704,1631128,1630170,1628418,1628380,1631110,1631103,203484,4,4,0,3,3,6,800,133.33333333333331,133.33333333333331,0.0,0.6666666666666666,2022-23
201145202704162838016301701631110203484203999162775016296401631103,201145,202704,1630170,1628380,1631110,1631103,203484,203999,1627750,1629640,3,4,-1,3,3,6,660,100.0,133.33333333333331,-33.333333333333314,0.6666666666666666,2022-23
2034842039991627750163110316311102039321629008162964016296461630200,1631110,1631103,203484,203999,1627750,1629640,203932,1629008,1629646,1630200,7,3,4,6,5,11,1090,116.66666666666667,60.0,56.66666666666667,0.36666666666666664,2022-23
203484203999162775016296401631103203926203932162900816296461630200,1631103,203484,203999,1627750,1629640,203932,1629008,1629646,1630200,203926,6,3,3,3,4,7,930,200.0,75.0,125.0,0.5833333333333334,2022-23
203484203999162775016296401631103203926203932162838016290081630200,1631103,203484,203999,1627750,1629640,203932,1629008,1630200,203926,1628380,0,2,-2,0,0,0,210,,,,,2022-23
203484203932203999162775016296402039261628380162900816301701630200,203484,203999,1627750,1629640,203932,1629008,1630200,203926,1628380,1630170,12,8,4,7,6,13,1704,171.42857142857142,133.33333333333331,38.0952380952381,0.30952380952380953,2022-23
203484203932203999162775016296402039261628380163017016302001631128,203484,203999,1627750,1629640,203932,1630200,203926,1628380,1630170,1631128,2,0,2,0,0,0,18,,,,,2022-23
2034842039322039991627750162964016283801628966163017016302001631128,203484,203999,1627750,1629640,203932,1630200,1628380,1630170,1631128,1628966,0,2,-2,1,2,3,18,0.0,100.0,-100.0,1.5,2022-23
2034842039322039991627750162964016283801629008163017016311031631110,203484,203999,1627750,1629640,203932,1628380,1630170,1629008,1631103,1631110,17,12,5,12,11,23,3030,141.66666666666669,109.09090909090908,32.575757575757606,0.17424242424242425,2022-23
2034842039322039991627750162964016289711629646163017016311031631110,203484,203999,1627750,1629640,203932,1630170,1631103,1631110,1628971,1629646,0,2,-2,3,3,6,970,0.0,66.66666666666666,-66.66666666666666,0.6666666666666666,2022-23
