ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
203084201142203078203994162616416277341628368162896016289891631099,203084,1627734,1628368,1628989,1631099,201142,203078,203994,1626164,1628960,14,11,3,10,9,19,2790,140.0,122.22222222222223,17.77777777777777,0.2111111111111111,2023-24
203084162773416283681628989163109920114220156920399416261641628960,203084,1627734,1628368,1628989,1631099,201142,203994,1626164,1628960,201569,11,9,2,6,6,12,1240,183.33333333333331,150.0,33.333333333333314,0.3333333333333333,2023-24
201142203084203994162773416310992015691626164162837016289601630558,203084,1627734,1631099,201142,203994,1626164,1628960,201569,1628370,1630558,6,4,2,3,3,6,1010,200.0,133.33333333333331,66.66666666666669,0.6666666666666666,2023-24
2030842039941626164162773416310992015691626220162837016289601630558,203084,1627734,1631099,203994,1626164,1628960,201569,1628370,1630558,1626220,0,2,-2,0,1,1,90,,200.0,,inf,2023-24
20308416261641627734162896016310992015691626220162837016292341630558,203084,1627734,1631099,1626164,1628960,201569,1628370,1630558,1626220,1629234,1,0,1,1,0,1,160,100.0,,,inf,2023-24
20156920308416261641627734162896016262201628370162923416305581631165,203084,1627734,1626164,1628960,201569,1628370,1630558,1626220,1629234,1631165,0,4,-4,2,3,5,610,0.0,133.33333333333331,-133.33333333333331,0.8333333333333334,2023-24
201569162616416262201627734162837016283681628989162900616292341631165,1627734,1626164,201569,1628370,1626220,1629234,1631165,1628368,1628989,1629006,6,7,-1,4,3,7,966,150.0,233.33333333333334,-83.33333333333334,0.5833333333333334,2023-24
20156916261641626220162837016292342034581628368162898916290061631165,1626164,201569,1628370,1626220,1629234,1631165,1628368,1628989,1629006,203458,0,2,-2,1,1,2,307,0.0,200.0,-200.0,2.0,2023-24
20156916261641626220162837016292342034581628368162900616305561631165,1626164,201569,1628370,1626220,1629234,1631165,1628368,1629006,203458,1630556,0,0,0,0,1,1,27,,0.0,,inf,2023-24
2034581626220162836816283701629006201142203994162896016289891630556,1628370,1626220,1628368,1629006,203458,1630556,1628989,201142,203994,1628960,6,4,2,4,4,8,1250,150.0,100.0,50.0,0.5,2023-24
203458162622016283681628370162900620114220308420399416289601628989,1628370,1626220,1628368,1629006,203458,1628989,201142,203994,1628960,203084,1,5,-4,3,2,5,1050,33.33333333333333,250.0,-216.66666666666669,0.8333333333333334,2023-24
20114220308416262201628370162896016277341629234162962616305581631099,1628370,1626220,201142,1628960,203084,1627734,1630558,1631099,1629234,1629626,0,4,-4,2,2,4,460,0.0,200.0,-200.0,1.0,2023-24
20114220308416277341628370162896016261641629234162962616305581631099,1628370,201142,1628960,203084,1627734,1630558,1631099,1629234,1629626,1626164,2,6,-4,3,3,6,910,66.66666666666666,200.0,-133.33333333333334,0.6666666666666666,2023-24
2030841627734162837016305581631099201569203994162616416262201629006,1628370,203084,1627734,1630558,1631099,1626164,201569,203994,1626220,1629006,2,0,2,1,1,2,580,200.0,0.0,200.0,2.0,2023-24
20156916261641627734163055816310992039941626220162836816289891629006,1627734,1630558,1631099,1626164,201569,203994,1626220,1629006,1628368,1628989,6,5,1,4,4,8,1110,150.0,125.0,25.0,0.5,2023-24
20156916261641627734163055816310992011421626220162836816283701628960,1627734,1630558,1631099,1626164,201569,1626220,1628368,1628370,201142,1628960,2,2,0,3,3,6,770,66.66666666666666,66.66666666666666,0.0,0.6666666666666666,2023-24
2015691626164162622016277341630558201142203084162836816283701628960,1627734,1630558,1626164,201569,1626220,1628368,1628370,201142,1628960,203084,7,2,5,4,5,9,1070,175.0,40.0,135.0,0.45,2023-24
201142201569162616416277341628368203084203994162896016289891631099,1627734,1626164,201569,1628368,201142,1628960,203084,1628989,1631099,203994,3,9,-6,8,7,15,1670,37.5,128.57142857142858,-91.07142857142858,0.26785714285714285,2023-24
201142201569162616416277341628368203084203994162896016289891631165,1627734,1626164,201569,1628368,201142,1628960,203084,1628989,203994,1631165,5,7,-2,5,6,11,1510,100.0,116.66666666666667,-16.66666666666667,0.36666666666666664,2023-24
2011421626164162773416283681628960203084203994162898916290061631165,1627734,1626164,1628368,201142,1628960,203084,1628989,203994,1631165,1629006,4,0,4,2,1,3,510,200.0,0.0,200.0,1.5,2023-24
2011422030841626164162773416289602039941628370162900616305581631165,1627734,1626164,201142,1628960,203084,203994,1631165,1629006,1628370,1630558,3,2,1,1,1,2,350,300.0,200.0,100.0,2.0,2023-24
20114220308416261641627734162896016262201628370162898916290061630558,1627734,1626164,201142,1628960,203084,1629006,1628370,1630558,1628989,1626220,6,2,4,2,2,4,730,300.0,100.0,200.0,1.0,2023-24
