ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
201935162618116277391627826162788416290141629028163070316311011641739,201935,1626181,1627739,1627826,1627884,1629014,1629028,1630703,1631101,1641739,11,17,-6,10,10,20,3010,110.00000000000001,170.0,-59.999999999999986,0.2,2024-25
201935162618116277391627826162788416290281630703163110116312001641739,201935,1626181,1627739,1627826,1627884,1629028,1630703,1631101,1641739,1631200,7,4,3,4,4,8,1250,175.0,100.0,75.0,0.5,2024-25
201935162618116278261627884162902816295991630703163110116312001641739,201935,1626181,1627826,1627884,1629028,1630703,1631101,1641739,1631200,1629599,2,2,0,3,3,6,640,66.66666666666666,66.66666666666666,0.0,0.6666666666666666,2024-25
20193516290281631101163120016417392015871628964162901416295991629645,201935,1629028,1631101,1641739,1631200,1629599,201587,1628964,1629645,1629014,0,4,-4,1,1,2,640,0.0,400.0,-400.0,2.0,2024-25
20158720193516295991631200164173916289641629014162905716296451630625,201935,1641739,1631200,1629599,201587,1628964,1629645,1629014,1629057,1630625,2,5,-3,3,3,6,830,66.66666666666666,166.66666666666669,-100.00000000000003,0.6666666666666666,2024-25
20158720193516289641629599163120016290141629057162964516306251631133,201935,1631200,1629599,201587,1628964,1629645,1629014,1629057,1630625,1631133,0,0,0,2,1,3,333,0.0,0.0,0.0,1.5,2024-25
201587162896416295991629645163120016290141629057162961116306251631133,1631200,1629599,201587,1628964,1629645,1629014,1629057,1630625,1631133,1629611,0,6,-6,6,7,13,1907,0.0,85.71428571428571,-85.71428571428571,0.30952380952380953,2024-25
201587162896416295991629645163120016290281629611163062516307031631133,1631200,1629599,201587,1628964,1629645,1630625,1631133,1629611,1629028,1630703,4,2,2,4,4,8,1150,100.0,50.0,50.0,0.5,2024-25
201587162618116290281629599163070316277391627826162901416311011641739,1629599,201587,1629028,1630703,1626181,1627739,1627826,1629014,1631101,1641739,4,7,-3,4,4,8,1210,100.0,175.0,-75.0,0.5,2024-25
162618116277391627826162902816307032019351627884162901416311011641739,1629028,1630703,1626181,1627739,1627826,1629014,1631101,1641739,201935,1627884,6,5,1,6,7,13,2040,100.0,71.42857142857143,28.57142857142857,0.30952380952380953,2024-25
162618116278261629014163070316311012019351627884162905716295991641739,1630703,1626181,1627826,1629014,1631101,1641739,201935,1627884,1629599,1629057,2,0,2,6,7,13,1390,33.33333333333333,0.0,33.33333333333333,0.30952380952380953,2024-25
162618116278261629014163070316311012019351627739162788416290281641739,1630703,1626181,1627826,1629014,1631101,1641739,201935,1627884,1627739,1629028,2,13,-11,7,6,13,1960,28.57142857142857,216.66666666666666,-188.09523809523807,0.30952380952380953,2024-25
201935162618116278261630703164173916277391627884162902816306251631200,1630703,1626181,1627826,1641739,201935,1627884,1627739,1629028,1630625,1631200,0,6,-6,3,3,6,780,0.0,200.0,-200.0,0.6666666666666666,2024-25
201935162618116278261630703164173916277391627884162905716306251631200,1630703,1626181,1627826,1641739,201935,1627884,1627739,1630625,1631200,1629057,7,5,2,4,5,9,1300,175.0,100.0,75.0,0.45,2024-25
201935162782616278841630703164173916290571629599162961116306251631200,1630703,1627826,1641739,201935,1627884,1630625,1631200,1629057,1629599,1629611,2,2,0,1,0,1,380,200.0,,,inf,2024-25
201935162782616278841630625163070316290571629599162961116311331631200,1630703,1627826,201935,1627884,1630625,1631200,1629057,1629599,1629611,1631133,2,2,0,2,3,5,600,100.0,66.66666666666666,33.33333333333334,0.8333333333333334,2024-25
20193516290571630625163070316312002015871628964162959916296111631133,1630703,201935,1630625,1631200,1629057,1629599,1629611,1631133,201587,1628964,5,4,1,3,3,6,840,166.66666666666669,133.33333333333331,33.33333333333337,0.6666666666666666,2024-25
