ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
1627783162614516278321628991162901816301731630214163021716305671630583,1627783,1627832,1629018,1630173,1630567,1626145,1628991,1630214,1630217,1630583,15,6,9,10,11,21,2590,150.0,54.54545454545454,95.45454545454547,0.19090909090909092,2022-23
1626145162778316278321629018163017316284491628991163021416302171630583,1627783,1627832,1629018,1630173,1626145,1628991,1630214,1630217,1630583,1628449,3,3,0,0,1,1,330,,300.0,,inf,2022-23
162614516277831627832162899116290182011521628449162972316302141630583,1627783,1627832,1629018,1626145,1628991,1630214,1630583,1628449,201152,1629723,6,5,1,4,4,8,1170,150.0,125.0,25.0,0.5,2022-23
16261451627783162783216289911630214201152201980162844916297231630201,1627783,1627832,1626145,1628991,1630214,1628449,201152,1629723,1630201,201980,3,5,-2,4,3,7,860,75.0,166.66666666666669,-91.66666666666669,0.5833333333333334,2022-23
16261451627783162783216284491630214201152201980162972316302011630583,1627783,1627832,1626145,1630214,1628449,201152,1629723,1630201,201980,1630583,0,3,-3,0,1,1,160,,300.0,,inf,2022-23
20115216261451627832162844916302142019801629723163020116305671630583,1627832,1626145,1630214,1628449,201152,1629723,1630201,201980,1630583,1630567,0,1,-1,1,0,1,250,0.0,,,inf,2022-23
20115216261451627832162844916297232019801629634163020116305671630583,1627832,1626145,1628449,201152,1629723,1630201,201980,1630583,1630567,1629634,2,1,1,1,2,3,639,200.0,50.0,150.0,1.5,2022-23
20115216278321628449162972316302012019801629634163021716305671630583,1627832,1628449,201152,1629723,1630201,201980,1630583,1630567,1629634,1630217,2,5,-3,5,4,9,1649,40.0,125.0,-85.0,0.45,2022-23
1627832162844916297231630201163058316277831629634163021416302171630567,1627832,1628449,1629723,1630201,1630583,1630567,1629634,1630217,1627783,1630214,0,0,0,1,0,1,21,0.0,,,inf,2022-23
162778316284491629634163020116302172019801629018163017316305331631223,1628449,1630201,1629634,1630217,1627783,1629018,1630173,201980,1630533,1631223,18,14,4,10,11,21,2980,180.0,127.27272727272727,52.727272727272734,0.19090909090909092,2022-23
1628449162901816301731630217163053316278321628991163021416305671631223,1628449,1630217,1629018,1630173,1630533,1631223,1627832,1630567,1628991,1630214,2,6,-4,3,3,6,970,66.66666666666666,200.0,-133.33333333333334,0.6666666666666666,2022-23
162783216289911629018163017316305672011521626145162972316302141630583,1629018,1630173,1627832,1630567,1628991,1630214,201152,1626145,1629723,1630583,8,9,-1,7,7,14,2030,114.28571428571428,128.57142857142858,-14.285714285714306,0.2857142857142857,2022-23
162783216290181630173163021416305672011521626145163021716305831631223,1629018,1630173,1627832,1630567,1630214,201152,1626145,1630583,1630217,1631223,3,2,1,3,3,6,1180,100.0,66.66666666666666,33.33333333333334,0.6666666666666666,2022-23
20115216278321629018163017316305672019801626145163021716305831631223,1629018,1630173,1627832,1630567,201152,1626145,1630583,1630217,1631223,201980,0,0,0,1,0,1,40,0.0,,,inf,2022-23
1626145162783216290181630173163056716277831628991163021416302171630583,1629018,1630173,1627832,1630567,1626145,1630583,1630217,1627783,1628991,1630214,13,7,6,13,14,27,3600,100.0,50.0,50.0,0.14835164835164835,2022-23
1626145162783216290181630173163056716277831628991162972316302141630583,1629018,1630173,1627832,1630567,1626145,1630583,1627783,1628991,1630214,1629723,3,0,3,1,1,2,270,300.0,0.0,300.0,2.0,2022-23
162614516277831627832162901816305832011521628449162899116297231630214,1629018,1627832,1626145,1630583,1627783,1628991,1630214,1629723,201152,1628449,3,0,3,2,2,4,490,150.0,0.0,150.0,1.0,2022-23
16261451627832162899116290181630214201152201980162844916297231630567,1629018,1627832,1626145,1628991,1630214,1629723,201152,1628449,1630567,201980,0,5,-5,4,3,7,900,0.0,166.66666666666669,-166.66666666666669,0.5833333333333334,2022-23
16261451627832162899116290181629723201152201980162844916296341630567,1629018,1627832,1626145,1628991,1629723,201152,1628449,1630567,201980,1629634,3,0,3,1,1,2,340,300.0,0.0,300.0,2.0,2022-23
20115216261451627832162899116297232019801628449162963416302011630567,1627832,1626145,1628991,1629723,201152,1628449,1630567,201980,1629634,1630201,2,3,-1,3,3,6,840,66.66666666666666,100.0,-33.33333333333334,0.6666666666666666,2022-23
