ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
1629014163016616283861629622162963116296361630596163110116417391642270,1629014,1630166,1631101,1641739,1642270,1628386,1629622,1629631,1629636,1630596,7,10,-3,9,9,18,2710,77.77777777777779,111.11111111111111,-33.33333333333333,0.2222222222222222,2024-25
1628386163016616311011641739164227016296221629631162963616305961630703,1630166,1631101,1641739,1642270,1628386,1629622,1629631,1629636,1630596,1630703,0,1,-1,1,1,2,370,0.0,100.0,-100.0,2.0,2024-25
1628386163016616311011641739164227016296221629636162966016297311630703,1630166,1631101,1641739,1642270,1628386,1629622,1629636,1630703,1629660,1629731,9,7,2,7,7,14,1680,128.57142857142858,100.0,28.571428571428584,0.2857142857142857,2024-25
1629660162973116307031631101164173916290141630171163024116305961631133,1631101,1641739,1630703,1629660,1629731,1629014,1631133,1630171,1630241,1630596,2,5,-3,2,2,4,790,100.0,250.0,-150.0,1.0,2024-25
1629014162966016297311630703164173916301711630241163059616306251631133,1641739,1630703,1629660,1629731,1629014,1631133,1630171,1630241,1630596,1630625,0,0,0,1,1,2,520,0.0,0.0,0.0,2.0,2024-25
1629014162966016297311630703163113316301711630241163059616306251631200,1630703,1629660,1629731,1629014,1631133,1630171,1630241,1630596,1630625,1631200,6,4,2,4,5,9,1130,150.0,80.0,70.0,0.45,2024-25
1629014162966016301711630241163113316296311630596163062516311011631200,1629660,1629014,1631133,1630171,1630241,1630596,1630625,1631200,1631101,1629631,4,1,3,5,5,10,1760,80.0,20.0,60.0,0.4,2024-25
1629014162966016301711630596163120016296311630166163110116418541642270,1629660,1629014,1630171,1630596,1631200,1631101,1629631,1630166,1642270,1641854,6,3,3,3,2,5,690,200.0,150.0,50.0,0.8333333333333334,2024-25
1629631163016616305961631101164185416296361629731163070316311331641739,1630596,1631101,1629631,1630166,1641854,1630703,1631133,1641739,1629636,1629731,0,2,-2,0,1,1,170,,200.0,,inf,2024-25
1629631163016616307031631101164185416283861629636162973116311331641739,1631101,1629631,1630166,1641854,1630703,1631133,1641739,1629636,1629731,1628386,0,0,0,2,2,4,360,0.0,0.0,0.0,1.0,2024-25
1629631163016616307031631101164185416283861629636162973116417391641871,1631101,1629631,1630166,1641854,1630703,1641739,1629636,1629731,1628386,1641871,4,4,0,5,4,9,910,80.0,100.0,-20.0,0.45,2024-25
1630166163070316311011641739164185416283861629622162963616297311641871,1631101,1630166,1641854,1630703,1641739,1629636,1629731,1628386,1641871,1629622,4,5,-1,2,2,4,710,200.0,250.0,-50.0,1.0,2024-25
1629636162973116301661630703164173916283861629014162962216296601641871,1630166,1630703,1641739,1629636,1629731,1628386,1641871,1629622,1629014,1629660,0,5,-5,2,2,4,540,0.0,250.0,-250.0,1.0,2024-25
1628386162963616301661630703164173916290141629622162966016305961641871,1630166,1630703,1641739,1629636,1628386,1641871,1629622,1629014,1629660,1630596,0,5,-5,4,4,8,1270,0.0,125.0,-125.0,0.5,2024-25
1628386162963616301661630703164173916290141629622162966016301711641871,1630166,1630703,1641739,1629636,1628386,1641871,1629622,1629014,1629660,1630171,0,2,-2,2,3,5,790,0.0,66.66666666666666,-66.66666666666666,0.8333333333333334,2024-25
1628386162962216296361630166164173916290141629631163059616311011642270,1630166,1641739,1629636,1628386,1629622,1629014,1631101,1642270,1629631,1630596,1,0,1,2,2,4,460,50.0,0.0,50.0,1.0,2024-25
1628386162962216296361630166164173916290141629631163059616311011641871,1630166,1641739,1629636,1628386,1629622,1629014,1631101,1629631,1630596,1641871,1,5,-4,3,3,6,630,33.33333333333333,166.66666666666669,-133.33333333333337,0.6666666666666666,2024-25
1628386162962216296361630166164173916290141629631163017116311011641871,1630166,1641739,1629636,1628386,1629622,1629014,1631101,1629631,1641871,1630171,12,4,8,5,6,11,1640,240.0,66.66666666666666,173.33333333333334,0.36666666666666664,2024-25
1628386162962216296361630166164173916296311630171163070316311011641871,1630166,1641739,1629636,1628386,1629622,1631101,1629631,1641871,1630171,1630703,4,8,-4,4,3,7,830,100.0,266.66666666666663,-166.66666666666663,0.5833333333333334,2024-25
1629631162963616301661631101164173916296601630171163059616307031641871,1630166,1641739,1629636,1631101,1629631,1641871,1630171,1630703,1629660,1630596,0,3,-3,1,2,3,410,0.0,150.0,-150.0,1.5,2024-25
1629636163016616311011641739164187116296601630171163024116305961630703,1630166,1641739,1629636,1631101,1641871,1630171,1630703,1629660,1630596,1630241,6,8,-2,5,4,9,1290,120.0,200.0,-80.0,0.45,2024-25
1629636163070316311011641739164187116290141629660162973116302411630596,1641739,1629636,1631101,1641871,1630703,1629660,1630596,1630241,1629014,1629731,5,0,5,1,2,3,250,500.0,0.0,500.0,1.5,2024-25
